Sending command: Time 1725686063.858228, Addr 3, Duty 9, Freq 0, Start/Stop 1
Sending command: Time 1725686063.880973, Addr 1, Duty 1, Freq 0, Start/Stop 1
Sending command: Time 1725686063.880973, Addr 2, Duty 0, Freq 0, Start/Stop 1
Sending command: Time 1725686063.880973, Addr 3, Duty 9, Freq 0, Start/Stop 1
Sending command: Time 1725686063.9019918, Addr 1, Duty -3, Freq 0, Start/Stop 1
Sending command: Time 1725686063.9019918, Addr 2, Duty 1, Freq 0, Start/Stop 1
Sending command: Time 1725686063.9019918, Addr 3, Duty 8, Freq 0, Start/Stop 1
Sending command: Time 1725686063.921349, Addr 1, Duty -7, Freq 0, Start/Stop 1
Sending command: Time 1725686063.921349, Addr 2, Duty 3, Freq 0, Start/Stop 1
Sending command: Time 1725686063.921349, Addr 3, Duty 8, Freq 0, Start/Stop 1
Sending command: Time 1725686063.942035, Addr 1, Duty -10, Freq 0, Start/Stop 1
Sending command: Time 1725686063.942035, Addr 2, Duty 5, Freq 0, Start/Stop 1
Sending command: Time 1725686063.942035, Addr 3, Duty 8, Freq 0, Start/Stop 1
Sending command: Time 1725686063.963232, Addr 1, Duty -12, Freq 0, Start/Stop 1
Sending command: Time 1725686063.963232, Addr 2, Duty 6, Freq 0, Start/Stop 1
Sending command: Time 1725686063.963232, Addr 3, Duty 7, Freq 0, Start/Stop 1
Sending command: Time 1725686063.984642, Addr 1, Duty -14, Freq 0, Start/Stop 1
Sending command: Time 1725686063.984642, Addr 2, Duty 8, Freq 0, Start/Stop 1
Sending command: Time 1725686063.984642, Addr 3, Duty 7, Freq 0, Start/Stop 1
Sending command: Time 1725686064.004116, Addr 1, Duty -15, Freq 0, Start/Stop 1
Sending command: Time 1725686064.004116, Addr 2, Duty 9, Freq 0, Start/Stop 1
Sending command: Time 1725686064.004116, Addr 3, Duty 6, Freq 0, Start/Stop 1
Sending command: Time 1725686064.024003, Addr 1, Duty -15, Freq 0, Start/Stop 1
Sending command: Time 1725686064.024003, Addr 2, Duty 11, Freq 0, Start/Stop 1
Sending command: Time 1725686064.024003, Addr 3, Duty 6, Freq 0, Start/Stop 1
Sending command: Time 1725686064.0458481, Addr 1, Duty -14, Freq 0, Start/Stop 1
Sending command: Time 1725686064.0458481, Addr 2, Duty 13, Freq 0, Start/Stop 1
Sending command: Time 1725686064.0458481, Addr 3, Duty 5, Freq 0, Start/Stop 1
Sending command: Time 1725686064.0677278, Addr 1, Duty -12, Freq 0, Start/Stop 1
Sending command: Time 1725686064.0677278, Addr 2, Duty 14, Freq 0, Start/Stop 1
Sending command: Time 1725686064.0677278, Addr 3, Duty 5, Freq 0, Start/Stop 1
Sending command: Time 1725686064.08736, Addr 1, Duty -9, Freq 0, Start/Stop 1
Sending command: Time 1725686064.08736, Addr 2, Duty -14, Freq 0, Start/Stop 1
Sending command: Time 1725686064.08736, Addr 3, Duty 4, Freq 0, Start/Stop 1
Sending command: Time 1725686064.1068969, Addr 1, Duty -5, Freq 0, Start/Stop 1
Sending command: Time 1725686064.1068969, Addr 2, Duty -12, Freq 0, Start/Stop 1
Sending command: Time 1725686064.1068969, Addr 3, Duty 4, Freq 0, Start/Stop 1
Sending command: Time 1725686064.129673, Addr 1, Duty -1, Freq 0, Start/Stop 1
Sending command: Time 1725686064.129673, Addr 2, Duty -11, Freq 0, Start/Stop 1
Sending command: Time 1725686064.129673, Addr 3, Duty 3, Freq 0, Start/Stop 1
Sending command: Time 1725686064.151252, Addr 1, Duty 2, Freq 0, Start/Stop 1
Sending command: Time 1725686064.151252, Addr 2, Duty -9, Freq 0, Start/Stop 1
Sending command: Time 1725686064.151252, Addr 3, Duty 3, Freq 0, Start/Stop 1
Sending command: Time 1725686064.172163, Addr 1, Duty 6, Freq 0, Start/Stop 1
Sending command: Time 1725686064.172163, Addr 2, Duty -7, Freq 0, Start/Stop 1
Sending command: Time 1725686064.172163, Addr 3, Duty 2, Freq 0, Start/Stop 1
Sending command: Time 1725686064.201083, Addr 1, Duty 9, Freq 0, Start/Stop 1
Sending command: Time 1725686064.201083, Addr 2, Duty -6, Freq 0, Start/Stop 1
Sending command: Time 1725686064.201083, Addr 3, Duty 2, Freq 0, Start/Stop 1
Sending command: Time 1725686064.2229419, Addr 1, Duty 12, Freq 0, Start/Stop 1
Sending command: Time 1725686064.2229419, Addr 2, Duty -4, Freq 0, Start/Stop 1
Sending command: Time 1725686064.2229419, Addr 3, Duty 1, Freq 0, Start/Stop 1
Sending command: Time 1725686064.246559, Addr 1, Duty 14, Freq 0, Start/Stop 1
Sending command: Time 1725686064.246559, Addr 2, Duty -2, Freq 0, Start/Stop 1
Sending command: Time 1725686064.246559, Addr 3, Duty 1, Freq 0, Start/Stop 1
Sending command: Time 1725686064.270488, Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686064.270488, Addr 2, Duty -1, Freq 0, Start/Stop 1
Sending command: Time 1725686064.270488, Addr 3, Duty 0, Freq 0, Start/Stop 1
